trial,nrows,nbins,filter,sketch_size,time (ns)
3,10000,1000,filter2,2,429600.00
4,10000,1000,filter2,2,445700.00
0,10000,1000,filter2,4,473300.00
1,10000,1000,filter2,4,470600.00
2,10000,1000,filter2,4,442400.00
3,10000,1000,filter2,4,505800.00
4,10000,1000,filter2,4,431200.00
0,10000,1000,filter2,8,550000.00
1,10000,1000,filter2,8,479200.00
2,10000,1000,filter2,8,540600.00
3,10000,1000,filter2,8,522900.00
4,10000,1000,filter2,8,458600.00
0,10000,1000,filter3,1,554100.00
1,10000,1000,filter3,1,386700.00
2,10000,1000,filter3,1,354700.00
3,10000,1000,filter3,1,428900.00
4,10000,1000,filter3,1,349500.00
0,10000,1000,filter3,2,556300.00
1,10000,1000,filter3,2,446000.00
2,10000,1000,filter3,2,506900.00
3,10000,1000,filter3,2,459700.00
4,10000,1000,filter3,2,435500.00
0,10000,1000,filter3,4,440900.00
1,10000,1000,filter3,4,419000.00
2,10000,1000,filter3,4,496000.00
3,10000,1000,filter3,4,417900.00
4,10000,1000,filter3,4,472700.00
0,10000,1000,filter3,8,445900.00
1,10000,1000,filter3,8,471900.00
2,10000,1000,filter3,8,464300.00
3,10000,1000,filter3,8,440600.00
4,10000,1000,filter3,8,482200.00
0,100000,10,filter1,1,1482900.00
1,100000,10,filter1,1,1446599.00
2,100000,10,filter1,1,1496400.00
3,100000,10,filter1,1,1422100.00
4,100000,10,filter1,1,1629400.00
0,100000,10,filter1,2,1891400.00
1,100000,10,filter1,2,1909300.00
2,100000,10,filter1,2,1939000.00
3,100000,10,filter1,2,2100600.00
4,100000,10,filter1,2,2011100.00
0,100000,10,filter1,4,2259400.00
1,100000,10,filter1,4,2313100.00
2,100000,10,filter1,4,2334600.00
3,100000,10,filter1,4,2221100.00
4,100000,10,filter1,4,2148900.00
0,100000,10,filter1,8,3012300.00
1,100000,10,filter1,8,3301299.00
2,100000,10,filter1,8,4029400.00
3,100000,10,filter1,8,3135200.00
4,100000,10,filter1,8,3176600.00
0,100000,10,filter2,1,1531600.00
1,100000,10,filter2,1,1579700.00
2,100000,10,filter2,1,1472600.00
3,100000,10,filter2,1,1914500.00
4,100000,10,filter2,1,1901000.00
0,100000,10,filter2,2,1804300.00
1,100000,10,filter2,2,1799600.00
2,100000,10,filter2,2,1771700.00
3,100000,10,filter2,2,1823400.00
4,100000,10,filter2,2,2109500.00
0,100000,10,filter2,4,2591300.00
1,100000,10,filter2,4,2301999.00
2,100000,10,filter2,4,2169500.00
3,100000,10,filter2,4,2206800.00
4,100000,10,filter2,4,2151900.00
0,100000,10,filter2,8,3090300.00
1,100000,10,filter2,8,3507800.00
2,100000,10,filter2,8,3020000.00
3,100000,10,filter2,8,3022300.00
4,100000,10,filter2,8,3037300.00
0,100000,10,filter3,1,1401700.00
1,100000,10,filter3,1,1422200.00
2,100000,10,filter3,1,1637000.00
3,100000,10,filter3,1,1584000.00
4,100000,10,filter3,1,1574000.00
0,100000,10,filter3,2,2096100.00
1,100000,10,filter3,2,2032699.00
2,100000,10,filter3,2,2010600.00
3,100000,10,filter3,2,2100400.00
4,100000,10,filter3,2,1991200.00
0,100000,10,filter3,4,2226000.00
1,100000,10,filter3,4,2120600.00
2,100000,10,filter3,4,1920500.00
3,100000,10,filter3,4,1876400.00
4,100000,10,filter3,4,1971900.00
0,100000,10,filter3,8,2897400.00
1,100000,10,filter3,8,3288400.00
2,100000,10,filter3,8,3410700.00
3,100000,10,filter3,8,3259400.00
4,100000,10,filter3,8,2911999.00
0,100000,100,filter1,1,1012100.00
1,100000,100,filter1,1,909100.00
2,100000,100,filter1,1,944900.00
3,100000,100,filter1,1,859300.00
4,100000,100,filter1,1,843900.00
0,100000,100,filter1,2,1405200.00
1,100000,100,filter1,2,1302800.00
2,100000,100,filter1,2,1232800.00
3,100000,100,filter1,2,1259400.00
4,100000,100,filter1,2,1225900.00
0,100000,100,filter1,4,1514000.00
1,100000,100,filter1,4,1876700.00
2,100000,100,filter1,4,1691500.00
3,100000,100,filter1,4,1630300.00
4,100000,100,filter1,4,1378600.00
0,100000,100,filter1,8,1633100.00
1,100000,100,filter1,8,1761999.00
2,100000,100,filter1,8,1858400.00
3,100000,100,filter1,8,1789100.00
4,100000,100,filter1,8,2116900.00
0,100000,100,filter2,1,1531400.00
1,100000,100,filter2,1,1564300.00
2,100000,100,filter2,1,1944200.00
3,100000,100,filter2,1,1788500.00
4,100000,100,filter2,1,1178500.00
0,100000,100,filter2,2,1969300.00
1,100000,100,filter2,2,1577600.00
2,100000,100,filter2,2,1493200.00
3,100000,100,filter2,2,1585900.00
4,100000,100,filter2,2,1950600.00
0,100000,100,filter2,4,1944100.00
1,100000,100,filter2,4,1734500.00
2,100000,100,filter2,4,1731900.00
3,100000,100,filter2,4,1936400.00
4,100000,100,filter2,4,1836199.00
0,100000,100,filter2,8,1835200.00
1,100000,100,filter2,8,2254000.00
2,100000,100,filter2,8,2368500.00
3,100000,100,filter2,8,2068200.00
4,100000,100,filter2,8,1993500.00
0,100000,100,filter3,1,821600.00
1,100000,100,filter3,1,795300.00
2,100000,100,filter3,1,810500.00
3,100000,100,filter3,1,643500.00
4,100000,100,filter3,1,599800.00
0,100000,100,filter3,2,1680300.00
1,100000,100,filter3,2,1692800.00
2,100000,100,filter3,2,1703100.00
3,100000,100,filter3,2,1776100.00
4,100000,100,filter3,2,1815000.00
