trial,nrows,nbins,filter,sketch_size,time (ns)
2,10000,1000,filter3,4,403600.00
3,10000,1000,filter3,4,485800.00
4,10000,1000,filter3,4,360400.00
0,10000,1000,filter3,8,459400.00
1,10000,1000,filter3,8,624300.00
2,10000,1000,filter3,8,451200.00
3,10000,1000,filter3,8,358800.00
4,10000,1000,filter3,8,474800.00
0,10000,1000,filter4,1,456100.00
1,10000,1000,filter4,1,359300.00
2,10000,1000,filter4,1,249100.00
3,10000,1000,filter4,1,323200.00
4,10000,1000,filter4,1,300600.00
0,10000,1000,filter4,2,3469700.00
1,10000,1000,filter4,2,732500.00
2,10000,1000,filter4,2,541900.00
3,10000,1000,filter4,2,622500.00
4,10000,1000,filter4,2,571900.00
0,10000,1000,filter4,4,881600.00
1,10000,1000,filter4,4,1170400.00
2,10000,1000,filter4,4,892100.00
3,10000,1000,filter4,4,1019500.00
4,10000,1000,filter4,4,901000.00
0,10000,1000,filter4,8,1824100.00
1,10000,1000,filter4,8,1813400.00
2,10000,1000,filter4,8,1603100.00
3,10000,1000,filter4,8,1554900.00
4,10000,1000,filter4,8,1629600.00
0,100000,10,filter1,1,1205500.00
1,100000,10,filter1,1,1364400.00
2,100000,10,filter1,1,1318801.00
3,100000,10,filter1,1,1267600.00
4,100000,10,filter1,1,1237400.00
0,100000,10,filter1,2,1775300.00
1,100000,10,filter1,2,1708200.00
2,100000,10,filter1,2,1568300.00
3,100000,10,filter1,2,1760900.00
4,100000,10,filter1,2,1625800.00
0,100000,10,filter1,4,2336000.00
1,100000,10,filter1,4,2666000.00
2,100000,10,filter1,4,2792800.00
3,100000,10,filter1,4,2008000.00
4,100000,10,filter1,4,1872600.00
0,100000,10,filter1,8,3102000.00
1,100000,10,filter1,8,3019200.00
2,100000,10,filter1,8,3362100.00
3,100000,10,filter1,8,3308100.00
4,100000,10,filter1,8,3163100.00
0,100000,10,filter2,1,1049600.00
1,100000,10,filter2,1,1000800.00
2,100000,10,filter2,1,1000600.00
3,100000,10,filter2,1,983200.00
4,100000,10,filter2,1,971000.00
0,100000,10,filter2,2,1591900.00
1,100000,10,filter2,2,1519000.00
2,100000,10,filter2,2,1472900.00
3,100000,10,filter2,2,1597300.00
4,100000,10,filter2,2,1375300.00
0,100000,10,filter2,4,1928300.00
1,100000,10,filter2,4,1920500.00
2,100000,10,filter2,4,1910900.00
3,100000,10,filter2,4,2067600.00
4,100000,10,filter2,4,1919000.00
0,100000,10,filter2,8,3342500.00
1,100000,10,filter2,8,3293001.00
2,100000,10,filter2,8,3059500.00
3,100000,10,filter2,8,3139200.00
4,100000,10,filter2,8,3103800.00
0,100000,10,filter3,1,1118900.00
1,100000,10,filter3,1,929700.00
2,100000,10,filter3,1,915200.00
3,100000,10,filter3,1,872000.00
4,100000,10,filter3,1,996400.00
0,100000,10,filter3,2,1337100.00
1,100000,10,filter3,2,1307000.00
2,100000,10,filter3,2,1383400.00
3,100000,10,filter3,2,1288100.00
4,100000,10,filter3,2,1312600.00
0,100000,10,filter3,4,2060000.00
1,100000,10,filter3,4,1998300.00
2,100000,10,filter3,4,2139800.00
3,100000,10,filter3,4,2243700.00
4,100000,10,filter3,4,2004400.00
0,100000,10,filter3,8,3284100.00
1,100000,10,filter3,8,3095600.00
2,100000,10,filter3,8,3079300.00
3,100000,10,filter3,8,3137700.00
4,100000,10,filter3,8,3348000.00
0,100000,10,filter4,1,527300.00
1,100000,10,filter4,1,369800.00
2,100000,10,filter4,1,370000.00
3,100000,10,filter4,1,395400.00
4,100000,10,filter4,1,415100.00
0,100000,10,filter4,2,1243600.00
1,100000,10,filter4,2,932800.00
2,100000,10,filter4,2,844000.00
3,100000,10,filter4,2,811600.00
4,100000,10,filter4,2,815600.00
0,100000,10,filter4,4,1601200.00
1,100000,10,filter4,4,1505100.00
2,100000,10,filter4,4,1465400.00
3,100000,10,filter4,4,1456100.00
4,100000,10,filter4,4,1405000.00
0,100000,10,filter4,8,2713200.00
1,100000,10,filter4,8,2616601.00
2,100000,10,filter4,8,2594700.00
