trial,nrows,nbins,filter,sketch_size,time (ns)
3,100000,10,filter3,2,1017700.00
4,100000,10,filter3,2,1018700.00
0,100000,10,filter3,4,1862200.00
1,100000,10,filter3,4,1732500.00
2,100000,10,filter3,4,1751800.00
3,100000,10,filter3,4,1687300.00
4,100000,10,filter3,4,1660200.00
0,100000,10,filter3,8,2938400.00
1,100000,10,filter3,8,2879400.00
2,100000,10,filter3,8,3165400.00
3,100000,10,filter3,8,2985800.00
4,100000,10,filter3,8,3023200.00
0,100000,100,filter1,1,567000.00
1,100000,100,filter1,1,498100.00
2,100000,100,filter1,1,429000.00
3,100000,100,filter1,1,425300.00
4,100000,100,filter1,1,446400.00
0,100000,100,filter1,2,766900.00
1,100000,100,filter1,2,750300.00
2,100000,100,filter1,2,666900.00
3,100000,100,filter1,2,666700.00
4,100000,100,filter1,2,666100.00
0,100000,100,filter1,4,1267300.00
1,100000,100,filter1,4,1260600.00
2,100000,100,filter1,4,1254500.00
3,100000,100,filter1,4,1202001.00
4,100000,100,filter1,4,1435400.00
0,100000,100,filter1,8,2124700.00
1,100000,100,filter1,8,2063100.00
2,100000,100,filter1,8,2086000.00
3,100000,100,filter1,8,2037200.00
4,100000,100,filter1,8,2023900.00
0,100000,100,filter2,1,480500.00
1,100000,100,filter2,1,482900.00
2,100000,100,filter2,1,431600.00
3,100000,100,filter2,1,423900.00
4,100000,100,filter2,1,422200.00
0,100000,100,filter2,2,943300.00
1,100000,100,filter2,2,918600.00
2,100000,100,filter2,2,887900.00
3,100000,100,filter2,2,829100.00
4,100000,100,filter2,2,823900.00
0,100000,100,filter2,4,1249200.00
1,100000,100,filter2,4,1187900.00
2,100000,100,filter2,4,1168700.00
3,100000,100,filter2,4,1170500.00
4,100000,100,filter2,4,1161000.00
0,100000,100,filter2,8,2045600.00
1,100000,100,filter2,8,2162000.00
2,100000,100,filter2,8,2353500.00
3,100000,100,filter2,8,2184500.00
4,100000,100,filter2,8,2124000.00
0,100000,100,filter3,1,417600.00
1,100000,100,filter3,1,363000.00
2,100000,100,filter3,1,362500.00
3,100000,100,filter3,1,360100.00
4,100000,100,filter3,1,388000.00
0,100000,100,filter3,2,551400.00
1,100000,100,filter3,2,511500.00
2,100000,100,filter3,2,598900.00
3,100000,100,filter3,2,550700.00
4,100000,100,filter3,2,493500.00
0,100000,100,filter3,4,780200.00
1,100000,100,filter3,4,761900.00
2,100000,100,filter3,4,718500.00
3,100000,100,filter3,4,760300.00
4,100000,100,filter3,4,939600.00
0,100000,100,filter3,8,1209800.00
